Sl_No,Company Name,Contact Type,Call Status,Follow - Up,Number_of Call_Attempts,Lead - Status,Phone Type,Point of Contact Status,Valid_Email_ID
149,A89,Existing,Wrong POC,,,,Reception,Not Important,Not Sure
,A89,New,No response,,3,,Reception,Not Sure,Not Sure
150,A90,Existing,Wrong POC,,3,,Reception,Not Important,Not Sure
,A90,New,No response,,3,,Reception,Not Sure,Not Sure
153,A91,Existing,No response,,1,,Invalid,Not Sure,Not Sure
154,A91,Existing,No response,,,,Invalid,Not Sure,Not Sure
155,A91,Existing,No response,,,,Invalid,Not Sure,Not Sure
156,A91,Existing,No response,,,,Invalid,Not Sure,Not Sure
157,A91,Existing,No response,,,,Invalid,Not Sure,Not Sure
1225,A92,Existing,,,1,,Invalid,Not Sure,Not Sure
1229,A93,Existing,,,,, ,,Not Sure
,A93,New,No response,,3,,Direct Line,Not Sure,
158,A94,Existing,No response,,1,,Invalid,Not Sure,Not Sure
159,A95,Existing,,,,, ,,Not Sure
160,A95,Existing,,,,, ,,Not Sure
1213,A96,Existing,Not Interested,,1,,Invalid,Not Sure,Not Sure
161,A97,Existing,,,,, ,,Not Sure
162,A97,Existing,,,,, ,,Not Sure
164,A97,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,A97,,No response,,3,,Reception,Not Sure,Not Sure
165,A98,Existing,Not Interested,,1,,Reception,Not Sure,Not Sure
163,A99,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
166,A99,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,A99,New,No response,,3,,Reception,Not Sure,Not Sure
168,A100,Existing,Wrong POC,,3,,Reception,Not Sure,Yes
,A100,New,No response,,3,,Reception,Not Sure,Not Sure
167,A101,Existing,No response,,3,,Reception,Not Sure,Not Sure
170,A102,Existing,Not Interested,,1,,Reception,Important,Not Sure
169,A103,Existing,Wrong POC,VM/Email,1,,Reception,Not Important,Not Sure
1222,A104,Existing,Not Interested,,2,,Direct Line,Not Sure,Not Sure
171,A105,Existing,,,,,,,
172,A106,Existing,No response,,1,,Invalid,Not Sure,Not Sure
1259,A107,Existing,No response,,3,,Reception,Not Sure,Not Sure
1251,A108,Existing,Not Interested,,2,,Direct Line,Important,Not Sure
1307,A108,Existing,Wrong POC,,,,Not Sure,,Not Sure
177,A109,Existing,No response,,3,,Reception,Not Sure,Yes
151,A110,Existing,Not Interested,VM/Email,2,,Reception,Not Sure,Not Sure
152,A110,Existing,Not Interested,,1,,Direct Line,Not Sure,Not Sure
173,A110,Existing,,,,, ,,Not Sure
174,A110,Existing,,,,, ,,Not Sure
176,A110,Existing,,,,, ,,Not Sure
175,A111,Existing,No response,,1,,Invalid,Not Sure,Not Sure
178,A111,Existing,,,,, ,,Not Sure
180,A112,Existing,Not Interested,,1,,Direct Line,Important,Not Sure
179,A113,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
181,A114,Existing,No response,,3,,Reception,Not Sure,Not Sure
182,A114,Existing,,,,,,Not Sure,Not Sure
184,A115,Existing,No response,,3,,Reception,Not Sure,Not Sure
183,A116,Existing,,,,,,,
185,A116,Existing,No response,,3,,Reception,Not Sure,Not Sure
186,A117,Existing,No response,,3,,Reception,Not Sure,Not Sure
1262,A118,Existing,,,,, ,,Not Sure
187,A119,Existing,,,,, ,,Not Sure
,A119,New,Wrong POC,,3,,Reception,Not Important,Not Sure
,A119,New,Not Interested,,2,,Direct Line,Important,Not Sure
188,A120,Existing,Not Interested,,1,,Direct Line,Important,Not Sure
189,A121,Existing,Lead,,2,Warm,Direct Line,Important,Not Sure
190,A122,Existing,Wrong POC,VM/Email,2,,Reception,Not Sure,Not Sure
,A122,New,No response,,3,,Reception,Important,Not Sure
191,A123,Existing,No response,,3,,Reception,Not Sure,Not Sure
192,A123,Existing,Not Interested,,2,,Reception,Not Sure,Yes
193,A124,Existing,No response,,2,,Reception,Not Sure,Not Sure
194,A124,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
195,A125,Existing,No response,,3,,Reception,Not Sure,Not Sure
196,A126,Existing,Wrong POC,,3,,Reception,Not Sure,Not Sure
1263,A127,Existing,,,,,Invalid,,Not Sure
1267,A127,Existing,Not Interested,,4,,Direct Line,Not Sure,Yes
1258,A128,Existing,No response,,3,,Reception,Not Sure,Not Sure
1303,A128,Existing,,,,, ,,Not Sure
197,A129,Existing,,,,, ,,Not Sure
198,A129,Existing,,,,, ,,Not Sure
,A128,New,No response,,3,,Reception,Important,Yes
215,A130,Existing,No response,,3,,Reception,Not Sure,Not Sure
1233,A131,Existing,No response,,3,,Reception,Not Sure,Not Sure
1309,A131,Existing,,,,, ,,Not Sure
199,A132,Existing,No response,,1,,Reception,Not Sure,Not Sure
,A131,,,,,,,,
1269,A133,Existing,No response,,5,,Reception,Not Sure,Not Sure
1302,A133,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,A133,New,No response,,3,,Reception,Not Important,Not Sure
200,A134,Existing,,,,, ,,Not Sure
216,A134,Existing,,,,, ,,Not Sure
217,A135,Existing,Lead,,4,Warm,Reception,Not Sure,Not Sure
218,A135,Existing,,,,, ,,Not Sure
219,A135,Existing,,,,, ,,Not Sure
220,A136,Existing,No response,,3,,Reception,Not Sure,Not Sure
221,A136,Existing,,,,, ,,Not Sure
222,A136,Existing,,,,, ,,Not Sure
223,A137,Existing,No response,,3,,Reception,Not Sure,Not Sure
225,A137,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
224,A138,Existing,Not Interested,,3,,Direct Line,Not Sure,Not Sure
203,A139,Existing,Not Interested,,2,,Reception,Not Sure,Yes
205,A140,Existing,Wrong POC,,3,,Reception,Not Sure,Not Sure
,A140,New,Wrong POC,,3,,Reception,Not Sure,Not Sure
204,A141,Existing,No response,,2,,Reception,Not Sure,Not Sure
201,A142,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,A140,New,No response,,3,,Reception,Not Sure,Not Sure
,A142,New,No response,,3,,Reception,Not Sure,Not Sure
210,A142,Existing,,,,, ,,Not Sure
208,A143,Existing,No response,,3,,Reception,Not Sure,Not Sure
202,A144,Existing,Wrong POC,,2,,Reception,Not Sure,Not Sure
,A144,New,No response,,3,,Reception,Important,Not Sure
1345,A145,Existing,No response,,2,,Direct Line,Not Sure,Not Sure
1370,A146,Existing,No response,,3,,Reception,Not Sure,Not Sure
206,A147,Existing,,,,,,,
207,A147,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
209,A147,Existing,Wrong POC,,1,, ,,Not Sure
211,A147,Existing,Wrong POC,,1,, ,,Not Sure
212,A147,Existing,Wrong POC,,1,, ,,Not Sure
