Sl_No,Company Name,Contact Type,Call Status,Follow - Up,Number_of Call_Attempts,Lead - Status,Phone Type,Point of Contact Status,Valid_Email_ID
906,,Existing,,,,, ,,Not Sure
910,,Existing,,,,, ,,Not Sure
1337,,Existing,,,,, ,,Not Sure
915,,Existing,,,,, ,,Not Sure
907,,Existing,,,,, ,,Not Sure
914,,Existing,,,,, ,,Not Sure
909,,Existing,,,,, ,,Not Sure
912,,Existing,,,,, ,,Not Sure
913,,Existing,,,,, ,,Not Sure
917,,Existing,,,,, ,,Not Sure
916,,Existing,,,,, ,,Not Sure
918,,Existing,,,,, ,,Not Sure
919,,Existing,,,,, ,,Not Sure
920,,Existing,,,,, ,,Not Sure
922,,Existing,,,,, ,,Not Sure
1228,,Existing,,,,, ,,Not Sure
921,,Existing,,,,, ,,Not Sure
923,,Existing,,,,, ,,Not Sure
924,,Existing,,,,, ,,Not Sure
947,,Existing,,,,, ,,Not Sure
925,,Existing,,,,, ,,Not Sure
946,,Existing,,,,, ,,Not Sure
927,,Existing,,,,, ,,Not Sure
926,,Existing,,,,, ,,Not Sure
928,,Existing,,,,, ,,Not Sure
929,,Existing,,,,, ,,Not Sure
948,,Existing,,,,, ,,Not Sure
949,,Existing,,,,, ,,Not Sure
950,,Existing,,,,, ,,Not Sure
1253,,Existing,,,,, ,,Not Sure
1301,,Existing,,,,, ,,Not Sure
1312,,Existing,,,,, ,,Not Sure
930,,Existing,,,,, ,,Not Sure
936,,Existing,,,,, ,,Not Sure
940,,Existing,,,,, ,,Not Sure
943,,Existing,,,,, ,,Not Sure
942,,Existing,,,,, ,,Not Sure
931,,Existing,,,,, ,,Not Sure
932,,Existing,,,,, ,,Not Sure
934,,Existing,,,,, ,,Not Sure
944,,Existing,,,,, ,,Not Sure
933,,Existing,,,,, ,,Not Sure
1340,,Existing,,,,, ,,Not Sure
1206,,Existing,,,,, ,,Not Sure
1220,,Existing,,,,, ,,Not Sure
935,,Existing,,,,, ,,Not Sure
937,,Existing,,,,, ,,Not Sure
945,,Existing,,,,, ,,Not Sure
1357,,Existing,,,,, ,,Not Sure
938,,Existing,,,,, ,,Not Sure
939,,Existing,,,,, ,,Not Sure
941,,Existing,,,,, ,,Not Sure
951,,Existing,,,,, ,,Not Sure
952,,Existing,,,,, ,,Not Sure
953,,Existing,,,,, ,,Not Sure
958,,Existing,,,,, ,,Not Sure
1238,,Existing,,,,, ,,Not Sure
1317,,Existing,,,,, ,,Not Sure
957,,Existing,,,,, ,,Not Sure
956,,Existing,,,,, ,,Not Sure
954,,Existing,,,,, ,,Not Sure
955,,Existing,,,,, ,,Not Sure
960,,Existing,,,,, ,,Not Sure
961,,Existing,,,,, ,,Not Sure
959,,Existing,,,,, ,,Not Sure
963,,Existing,,,,, ,,Not Sure
972,,Existing,,,,, ,,Not Sure
967,,Existing,,,,, ,,Not Sure
962,,Existing,,,,, ,,Not Sure
964,,Existing,,,,, ,,Not Sure
966,,Existing,,,,, ,,Not Sure
965,,Existing,,,,, ,,Not Sure
1234,,Existing,,,,, ,,Not Sure
968,,Existing,,,,, ,,Not Sure
969,,Existing,,,,, ,,Not Sure
970,,Existing,,,,, ,,Not Sure
1338,,Existing,,,,, ,,Not Sure
1257,,Existing,,,,, ,,Not Sure
1316,,Existing,,,,, ,,Not Sure
971,,Existing,,,,, ,,Not Sure
978,,Existing,,,,, ,,Not Sure
982,,Existing,,,,, ,,Not Sure
986,,Existing,,,,, ,,Not Sure
973,,Existing,,,,, ,,Not Sure
1000,,Existing,,,,, ,,Not Sure
1343,,Existing,,,,, ,,Not Sure
974,,Existing,,,,, ,,Not Sure
975,,Existing,,,,, ,,Not Sure
976,,Existing,,,,, ,,Not Sure
977,,Existing,,,,, ,,Not Sure
984,,Existing,,,,, ,,Not Sure
979,,Existing,,,,, ,,Not Sure
980,,Existing,,,,, ,,Not Sure
983,,Existing,,,,, ,,Not Sure
981,,Existing,,,,, ,,Not Sure
985,,Existing,,,,, ,,Not Sure
987,,Existing,,,,, ,,Not Sure
1371,,Existing,,,,, ,,Not Sure
988,,Existing,,,,, ,,Not Sure
989,,Existing,,,,, ,,Not Sure
990,,Existing,,,,, ,,Not Sure
991,,Existing,,,,, ,,Not Sure
1241,,Existing,,,,, ,,Not Sure
1292,,Existing,,,,, ,,Not Sure
992,,Existing,,,,, ,,Not Sure
993,,Existing,,,,, ,,Not Sure
995,,Existing,,,,, ,,Not Sure
1314,,Existing,,,,, ,,Not Sure
994,,Existing,,,,, ,,Not Sure
996,,Existing,,,,, ,,Not Sure
997,,Existing,,,,, ,,Not Sure
998,,Existing,,,,, ,,Not Sure
1008,,Existing,,,,, ,,Not Sure
1007,,Existing,,,,, ,,Not Sure
999,,Existing,,,,, ,,Not Sure
1006,,Existing,,,,, ,,Not Sure
1012,,Existing,,,,, ,,Not Sure
1333,,Existing,,,,, ,,Not Sure
1009,,Existing,,,,, ,,Not Sure
1010,,Existing,,,,, ,,Not Sure
1011,,Existing,,,,, ,,Not Sure
1014,,Existing,,,,, ,,Not Sure
1013,,Existing,,,,, ,,Not Sure
1250,,Existing,,,,, ,,Not Sure
1276,,Existing,,,,, ,,Not Sure
1015,,Existing,,,,, ,,Not Sure
1016,,Existing,,,,, ,,Not Sure
1017,,Existing,,,,, ,,Not Sure
1018,,Existing,,,,, ,,Not Sure
1019,,Existing,,,,, ,,Not Sure
1020,,Existing,,,,, ,,Not Sure
1022,,Existing,,,,, ,,Not Sure
1021,,Existing,,,,, ,,Not Sure
1024,,Existing,,,,, ,,Not Sure
1023,,Existing,,,,, ,,Not Sure
1001,,Existing,,,,, ,,Not Sure
1025,,Existing,,,,, ,,Not Sure
1002,,Existing,,,,, ,,Not Sure
1351,,Existing,,,,, ,,Not Sure
1003,,Existing,,,,, ,,Not Sure
1004,,Existing,,,,, ,,Not Sure
1005,,Existing,,,,, ,,Not Sure
1026,,Existing,,,,, ,,Not Sure
1027,,Existing,,,,, ,,Not Sure
1028,,Existing,,,,, ,,Not Sure
1029,,Existing,,,,, ,,Not Sure
1030,,Existing,,,,, ,,Not Sure
1031,,Existing,,,,, ,,Not Sure
1032,,Existing,,,,, ,,Not Sure
1033,,Existing,,,,, ,,Not Sure
1034,,Existing,,,,, ,,Not Sure
1036,,Existing,,,,, ,,Not Sure
1037,,Existing,,,,, ,,Not Sure
1035,,Existing,,,,, ,,Not Sure
1038,,Existing,,,,, ,,Not Sure
1039,,Existing,,,,, ,,Not Sure
1042,,Existing,,,,, ,,Not Sure
1040,,Existing,,,,, ,,Not Sure
1043,,Existing,,,,, ,,Not Sure
1041,,Existing,,,,, ,,Not Sure
1046,,Existing,,,,, ,,Not Sure
1044,,Existing,,,,, ,,Not Sure
1045,,Existing,,,,, ,,Not Sure
1047,,Existing,,,,, ,,Not Sure
1048,,Existing,,,,, ,,Not Sure
1049,,Existing,,,,, ,,Not Sure
1065,,Existing,,,,, ,,Not Sure
1067,,Existing,,,,, ,,Not Sure
1068,,Existing,,,,, ,,Not Sure
1050,,Existing,,,,, ,,Not Sure
1066,,Existing,,,,, ,,Not Sure
1070,,Existing,,,,, ,,Not Sure
1350,,Existing,,,,, ,,Not Sure
1069,,Existing,,,,, ,,Not Sure
1071,,Existing,,,,, ,,Not Sure
1073,,Existing,,,,, ,,Not Sure
1074,,Existing,,,,, ,,Not Sure
1072,,Existing,,,,, ,,Not Sure
1075,,Existing,,,,, ,,Not Sure
1051,,Existing,,,,, ,,Not Sure
1052,,Existing,,,,, ,,Not Sure
1053,,Existing,,,,, ,,Not Sure
1055,,Existing,,,,, ,,Not Sure
1054,,Existing,,,,, ,,Not Sure
1056,,Existing,,,,, ,,Not Sure
1310,,Existing,,,,, ,,Not Sure
1063,,Existing,,,,, ,,Not Sure
1060,,Existing,,,,, ,,Not Sure
1061,,Existing,,,,, ,,Not Sure
1062,,Existing,,,,, ,,Not Sure
1057,,Existing,,,,, ,,Not Sure
1363,,Existing,,,,, ,,Not Sure
1058,,Existing,,,,, ,,Not Sure
1059,,Existing,,,,, ,,Not Sure
1076,,Existing,,,,, ,,Not Sure
1064,,Existing,,,,, ,,Not Sure
1077,,Existing,,,,, ,,Not Sure
1079,,Existing,,,,, ,,Not Sure
1078,,Existing,,,,, ,,Not Sure
1080,,Existing,,,,, ,,Not Sure
1081,,Existing,,,,, ,,Not Sure
1082,,Existing,,,,, ,,Not Sure
1083,,Existing,,,,, ,,Not Sure
1084,,Existing,,,,, ,,Not Sure
1085,,Existing,,,,, ,,Not Sure
1086,,Existing,,,,, ,,Not Sure
1087,,Existing,,,,, ,,Not Sure
1287,,Existing,,,,, ,,Not Sure
1091,,Existing,,,,, ,,Not Sure
1088,,Existing,,,,, ,,Not Sure
1089,,Existing,,,,, ,,Not Sure
1093,,Existing,,,,, ,,Not Sure
1090,,Existing,,,,, ,,Not Sure
1092,,Existing,,,,, ,,Not Sure
1094,,Existing,,,,, ,,Not Sure
1331,,Existing,,,,, ,,Not Sure
1095,,Existing,,,,, ,,Not Sure
1096,,Existing,,,,, ,,Not Sure
1097,,Existing,,,,, ,,Not Sure
1098,,Existing,,,,, ,,Not Sure
1099,,Existing,,,,, ,,Not Sure
1100,,Existing,,,,, ,,Not Sure
1247,,Existing,,,,, ,,Not Sure
1122,,Existing,,,,, ,,Not Sure
1124,,Existing,,,,, ,,Not Sure
1125,,Existing,,,,, ,,Not Sure
1101,,Existing,,,,, ,,Not Sure
1123,,Existing,,,,, ,,Not Sure
1102,,Existing,,,,, ,,Not Sure
1103,,Existing,,,,, ,,Not Sure
1104,,Existing,,,,, ,,Not Sure
1105,,Existing,,,,, ,,Not Sure
1106,,Existing,,,,, ,,Not Sure
1108,,Existing,,,,, ,,Not Sure
1107,,Existing,,,,, ,,Not Sure
1109,,Existing,,,,, ,,Not Sure
1110,,Existing,,,,, ,,Not Sure
1111,,Existing,,,,, ,,Not Sure
1112,,Existing,,,,, ,,Not Sure
1113,,Existing,,,,, ,,Not Sure
1114,,Existing,,,,, ,,Not Sure
1116,,Existing,,,,, ,,Not Sure
1115,,Existing,,,,, ,,Not Sure
1117,,Existing,,,,, ,,Not Sure
1118,,Existing,,,,, ,,Not Sure
1119,,Existing,,,,, ,,Not Sure
1120,,Existing,,,,, ,,Not Sure
1121,,Existing,,,,, ,,Not Sure
1126,,Existing,,,,, ,,Not Sure
1127,,Existing,,,,, ,,Not Sure
1128,,Existing,,,,, ,,Not Sure
1129,,Existing,,,,, ,,Not Sure
1134,,Existing,,,,, ,,Not Sure
1132,,Existing,,,,, ,,Not Sure
1133,,Existing,,,,, ,,Not Sure
1130,,Existing,,,,, ,,Not Sure
1135,,Existing,,,,, ,,Not Sure
1131,,Existing,,,,, ,,Not Sure
1136,,Existing,,,,, ,,Not Sure
1137,,Existing,,,,, ,,Not Sure
1362,,Existing,,,,, ,,Not Sure
1354,,Existing,,,,, ,,Not Sure
1138,,Existing,,,,, ,,Not Sure
1139,,Existing,,,,, ,,Not Sure
1142,,Existing,,,,, ,,Not Sure
1140,,Existing,,,,, ,,Not Sure
1141,,Existing,,,,, ,,Not Sure
1143,,Existing,,,,, ,,Not Sure
1144,,Existing,,,,, ,,Not Sure
1145,,Existing,,,,, ,,Not Sure
1149,,Existing,,,,, ,,Not Sure
1147,,Existing,,,,, ,,Not Sure
1146,,Existing,,,,, ,,Not Sure
1171,,Existing,,,,, ,,Not Sure
1148,,Existing,,,,, ,,Not Sure
1150,,Existing,,,,, ,,Not Sure
1174,,Existing,,,,, ,,Not Sure
1152,,Existing,,,,, ,,Not Sure
1172,,Existing,,,,, ,,Not Sure
1151,,Existing,,,,, ,,Not Sure
1153,,Existing,,,,, ,,Not Sure
1156,,Existing,,,,, ,,Not Sure
1173,,Existing,,,,, ,,Not Sure
1175,,Existing,,,,, ,,Not Sure
1154,,Existing,,,,, ,,Not Sure
1155,,Existing,,,,, ,,Not Sure
1157,,Existing,,,,, ,,Not Sure
1158,,Existing,,,,, ,,Not Sure
1159,,Existing,,,,, ,,Not Sure
1160,,Existing,,,,, ,,Not Sure
1162,,Existing,,,,, ,,Not Sure
1161,,Existing,,,,, ,,Not Sure
1226,,Existing,,,,, ,,Not Sure
1347,,Existing,,,,, ,,Not Sure
1164,,Existing,,,,, ,,Not Sure
1163,,Existing,,,,, ,,Not Sure
1165,,Existing,,,,, ,,Not Sure
1167,,Existing,,,,, ,,Not Sure
1281,,Existing,,,,, ,,Not Sure
1166,,Existing,,,,, ,,Not Sure
1168,,Existing,,,,, ,,Not Sure
1169,,Existing,,,,, ,,Not Sure
1178,,Existing,,,,, ,,Not Sure
1170,,Existing,,,,, ,,Not Sure
1179,,Existing,,,,, ,,Not Sure
1180,,Existing,,,,, ,,Not Sure
1295,,Existing,,,,, ,,Not Sure
1308,,Existing,,,,, ,,Not Sure
1181,,Existing,,,,, ,,Not Sure
1182,,Existing,,,,, ,,Not Sure
1184,,Existing,,,,, ,,Not Sure
1183,,Existing,,,,, ,,Not Sure
1186,,Existing,,,,, ,,Not Sure
1248,,Existing,,,,, ,,Not Sure
1185,,Existing,,,,, ,,Not Sure
1187,,Existing,,,,, ,,Not Sure
1188,,Existing,,,,, ,,Not Sure
1189,,Existing,,,,, ,,Not Sure
1190,,Existing,,,,, ,,Not Sure
1191,,Existing,,,,, ,,Not Sure
1192,,Existing,,,,, ,,Not Sure
1193,,Existing,,,,, ,,Not Sure
1194,,Existing,,,,, ,,Not Sure
1195,,Existing,,,,, ,,Not Sure
1196,,Existing,,,,, ,,Not Sure
1209,,Existing,,,,, ,,Not Sure
1197,,Existing,,,,, ,,Not Sure
1202,,Existing,,,,, ,,Not Sure
1198,,Existing,,,,, ,,Not Sure
1199,,Existing,,,,, ,,Not Sure
1200,,Existing,,,,, ,,Not Sure
1176,,Existing,,,,, ,,Not Sure
1177,,Existing,,,,, ,,Not Sure
1201,,Existing,,,,, ,,Not Sure
1203,,Existing,,,,, ,,Not Sure
1205,,Existing,,,,, ,,Not Sure
1207,,Existing,,,,, ,,Not Sure
1208,,Existing,,,,, ,,Not Sure
1260,,Existing,,,,, ,,Not Sure
1270,,Existing,,,,, ,,Not Sure
1210,,Existing,,,,, ,,Not Sure
1211,,Existing,,,,, ,,Not Sure
1212,,Existing,,,,, ,,Not Sure
1214,,Existing,,,,, ,,Not Sure
1216,,Existing,,,,, ,,Not Sure
1217,,Existing,,,,, ,,Not Sure
1218,,Existing,,,,, ,,Not Sure
1219,,Existing,,,,, ,,Not Sure
